Mineralwaesser;Natrium;Kalium;Magnesium;Calcium;Mangan;Chlorid;Sulfat;Hydrogencarbonat;Nitrat;Nitrit;Fluorid;Gesamt-Mineralieninmg/Liter;Mineralisation
Gaensefurther;42.70;5.60;81.00;235.00;0.0;306.00;320.00;323.00;1.00;0.0;0.0;1313.30;mittel
Gerolsteiner;118.00;10.80;108.00;348.00;0.40;39.70;36.30;1817.00;5.10;0.0;0.21;2483.51;stark
Gerolsteinernaturell;11.50;3.00;49.00;140.00;0.0;8.90;2.00;652.00;7.90;0.0;0.18;874.48;gering
Goeppinger;410.00;26.30;60.80;293.00;0.02;61.30;69.50;2112.00;2.30;0.005;0.52;3035.74;extremstark
Hassia;228.00;26.70;36.10;186.00;0.0;121.00;42.00;1144.00;0.0;0.0;0.0;1783.80;mittel
HochwaldSprudel;14.20;1.80;24.90;44.40;0.0;19.30;19.00;240.00;0.0;0.0;0.0;363.60;extremgering
Hoellensprudelclassic;9.91;0.53;26.31;192.26;0.0;3.61;5.15;735.80;0.00;0.0;0.0;973.57;gering
Hoellensprudelmedium;10.50;1.30;30.70;208.00;0.0;3.30;11.00;806.90;0.0;0.0;0.0;1071.70;mittel
HunsrueckQuelle;49.70;4.20;24.00;43.10;0.0;40.60;33.00;276.00;0.0;0.0;0.0;470.60;extremgering
IleburgerSachsenquelle;12.30;2.50;11.60;76.90;0.05;15.00;20.00;273.00;0.50;0.02;0.40;412.27;extremgering
ImuerFuerstenquelle;25.00;9.50;64.00;480.00;0.0;55.00;688.00;844.00;0.90;0.01;0.40;2166.80;stark
JebenhauserSauerbrunnen;14.40;4.53;19.40;333.00;0.08;17.20;33.60;1074.00;9.80;0.005;0.26;1506.27;mittel
Jesuitenquelle;2.70;1.40;29.00;94.00;0.05;3.90;36.00;390.00;0.14;0.0;0.0;557.14;gering
Justus;29.50;0.00;42.00;354.00;0.0;29.70;465.00;752.00;0.0;0.0;0.0;1672.20;mittel
Klosterquelle;22.00;5.00;85.00;408.00;0.0;11.00;1053.00;353.00;0.0;0.0;0.0;1937.00;mittel
Kondrauer;99.50;17.50;22.83;104.40;0.12;40.50;41.60;610.20;0.0;0.0;1.22;937.87;gering
KoenigOttoSprudel;11.70;4.10;8.00;7.90;0.0;16.80;22.00;42.00;1.80;0.0;0.33;114.63;extremgering
Krumbacher;9.10;2.30;23.30;87.00;0.0;6.40;19.00;381.00;0.0;0.0;0.10;528.20;gering
LabertalerSebastian;179.00;8.50;4.30;8.20;0.0;102.00;0.0;348.00;0.30;0.0;3.40;653.70;gering
LabertalerStephanie;5.80;1.80;33.80;68.90;0.0;0.60;7.60;390.00;0.30;0.0;0.13;508.93;gering
LaurentiusSchwarzwaldquirli;68.00;7.16;5.87;27.10;0.01;5.90;57.90;210.00;0.80;0.005;2.23;384.98;extremgering
Leisslinger;7.80;3.00;24.10;94.00;0.003;7.30;26.00;391.00;1.00;0.005;0.58;554.79;gering
Lichteuer;13.40;1.80;12.30;68.70;0.01;23.00;89.90;153.00;0.50;0.005;0.20;362.31;extremgering
Lieler;13.00;2.00;9.50;125.00;0.0;21.00;37.00;372.00;1.00;0.0;0.0;580.50;gering
Margon;29.00;0.0;15.00;79.00;0.0;62.00;105.00;149.00;0.0;0.0;0.0;439.00;extremgering
MaerkischesKristall;36.00;2.70;12.60;120.00;0.0;0.0;0.0;365.00;0.0;0.0;0.0;536.30;gering
Markgraefler;313.00;4.20;38.00;454.00;0.0;44.80;936.00;392.00;1.00;0.0;0.0;2183.00;stark
MontanusTafelwasser;0.60;0.0;22.40;73.20;0.0;1.00;0.0;325.00;0.0;0.0;0.0;421.20;sehrgering
MonteAzzuro;10.60;1.50;3.10;96.50;0.0;18.00;19.80;274.00;0.0;0.0;0.0;423.50;extremgering
Mozartquelle;27.00;1.00;0.00;25.00;0.0;1.00;11.00;222.00;0.0;0.0;0.0;287.00;extremgering
Naturparkquelle;19.40;3.86;3.00;565.00;0.0;9.10;1451.00;175.00;0.0;0.0;0.24;2226.60;stark
Neumarkter;3.80;4.50;14.00;72.00;0.0;5.70;31.00;269.00;0.50;0.005;0.33;400.88;extremgering
