Mineralwaesser;Natrium;Kalium;Magnesium;Calcium;Mangan;Chlorid;Sulfat;Hydrogencarbonat;Nitrat;Nitrit;Fluorid;Gesamt-Mineralien in mg/Liter;Mineralisation
Foerstina Eichenzell;7.50;2.90;26.00;74.00; ;6.70;110.00;220.00; ; ;0.35;447.45;extrem gering
Foerstina spritzig/still;33.00;11.10;52.00;505.00;0.013;45.00;700.00;945.00; ; ;1.51;2292.62;stark
Fortuna;30.00;11.70;48.00;380.00;0.01;41.00;502.00;787.00;2.60; ;1.10;1803.41;mittel
Frankenbrunnen spritzig/still;36.90;4.60;71.30;272.40;<0.05;95.70;597.60;390.00;<2.0;<0.02;<0.30;1470.87;mittel
Frankenbrunnen sanft;11.50;2.90;50.30;132.20;<0.05;17.90;94.20;544.00;<5.00;<0.02;<0.30;858.37;gering
Freyersbacher;287.00;20.50;67.10;290.00;0.19;27.90;409.00;1432.00;0.50;<0.005;2.32;2536.51;sehr stark
Fuerst Bismarck;10.00;1.10;3.90;60.00; ;14.30;16.00;183.00;0.40;<0.005;0.15;288.85;extrem gering
Gaensefurther;42.70;5.60;81.00;235.00; ;306.00;320.00;323.00;<1.00; ; ;1313.30;mittel
Gerolsteiner;118.00;10.80;108.00;348.00;0.40;39.70;36.30;1817.00;5.10; ;0.21;2483.51;stark
Gerolsteiner Naturell;11.50;3.00;49.00;140.00; ;8.90;2.00;652.00;7.90; ;0.18;874.48;gering
Goeppinger;410.00;26.30;60.80;293.00;0.02;61.30;69.50;2112.00;2.30;<0.005;0.52;3035.74;extrem stark
Hassia;228.00;26.70;36.10;186.00; ;121.00;42.00;1144.00; ; ; ;1783.80;mittel
Hochwald Sprudel;14.20;1.80;24.90;44.40; ;19.30;19.00;240.00; ; ; ;363.60;extrem gering
Hoellensprudel classic;9.91;0.53;26.31;192.26; ;3.61;5.15;735.80;0.00; ; ;973.57;gering
Hoellensprudel medium;10.50;1.30;30.70;208.00; ;3.30;11.00;806.90; ; ; ;1071.70;mittel
Hunsrueck Quelle;49.70;4.20;24.00;43.10; ;40.60;33.00;276.00; ; ; ;470.60;extrem gering
Ileburger Sachsenquelle;12.30;2.50;11.60;76.90;<0.05;15.00;20.00;273.00;0.50;<0.02;0.40;412.27;extrem gering
Imnauer Fuerstenquelle;25.00;9.50;64.00;480.00; ;55.00;688.00;844.00;0.90;<0.01;0.40;2166.80;stark
Jebenhauser Sauerbrunnen;14.40;4.53;19.40;333.00;0.08;17.20;33.60;1074.00;9.80;<0.005;0.26;1506.27;mittel
